SITE_ID,STREET,DATE
40005,Heidelberg Road,2019-11-15
40005,Heidelberg Road,2019-11-16
40005,Heidelberg Road,2019-11-17
40005,Heidelberg Road,2019-11-18
40005,Heidelberg Road,2019-11-19
40005,Heidelberg Road,2019-11-20
40005,Heidelberg Road,2019-11-21
40005,Heidelberg Road,2019-11-22
40005,Heidelberg Road,2019-11-23
40005,Heidelberg Road,2019-11-24
40005,Heidelberg Road,2019-11-25
40005,Heidelberg Road,2019-11-26
40005,Heidelberg Road,2019-11-27
40005,Heidelberg Road,2019-11-28
40005,Heidelberg Road,2019-11-29
40005,Heidelberg Road,2019-11-30
40005,Heidelberg Road,2019-12-01
40005,Heidelberg Road,2019-12-02
40005,Heidelberg Road,2019-12-03
40005,Heidelberg Road,2019-12-04
40005,Heidelberg Road,2019-12-05
40005,Heidelberg Road,2019-12-06
40005,Heidelberg Road,2019-12-07
40005,Heidelberg Road,2019-12-08
40005,Heidelberg Road,2019-12-09
40005,Heidelberg Road,2019-12-10
40005,Heidelberg Road,2019-12-11
40005,Heidelberg Road,2019-12-12
40005,Heidelberg Road,2019-12-13
40005,Heidelberg Road,2019-12-14
40005,Heidelberg Road,2019-12-15
40005,Heidelberg Road,2019-12-16
40005,Heidelberg Road,2019-12-17
40005,Heidelberg Road,2019-12-18
