SITE_ID,STREET,DATE_PARSED,BICYCLE_DETECTIONS
9077,Albert Street,2020-04-20,324
9077,Albert Street,2020-04-21,399
9077,Albert Street,2020-04-22,396
9077,Albert Street,2020-04-23,388
9077,Albert Street,2020-04-24,397
9077,Albert Street,2020-04-25,371
9077,Albert Street,2020-04-26,190
9077,Albert Street,2020-04-27,420
9077,Albert Street,2020-04-28,550
9077,Albert Street,2020-04-29,253
9077,Albert Street,2020-04-30,426
9077,Albert Street,2020-05-01,301
9077,Albert Street,2020-05-02,309
9077,Albert Street,2020-05-03,407
9077,Albert Street,2020-05-04,447
9077,Albert Street,2020-05-05,636
9077,Albert Street,2020-05-06,632
9077,Albert Street,2020-05-07,566
9077,Albert Street,2020-05-08,586
9077,Albert Street,2020-05-09,198
9077,Albert Street,2020-05-10,463
9077,Albert Street,2020-05-11,587
9077,Albert Street,2020-05-12,623
9077,Albert Street,2020-05-13,461
9077,Albert Street,2020-05-14,627
9077,Albert Street,2020-05-15,641
9077,Albert Street,2020-05-16,535
9077,Albert Street,2020-05-17,437
9077,Albert Street,2020-05-18,629
9077,Albert Street,2020-05-19,632
9077,Albert Street,2020-05-20,459
9077,Albert Street,2020-05-21,344
9077,Albert Street,2020-05-22,597
9077,Albert Street,2020-05-23,249
9077,Albert Street,2020-05-24,385
9077,Albert Street,2020-05-25,635
9077,Albert Street,2020-05-26,684
9077,Albert Street,2020-05-27,677
9077,Albert Street,2020-05-28,632
9077,Albert Street,2020-05-29,693
9077,Albert Street,2020-05-30,426
9077,Albert Street,2020-05-31,261
9077,Albert Street,2020-06-01,184
9077,Albert Street,2020-06-02,519
9077,Albert Street,2020-06-03,523
9077,Albert Street,2020-06-04,588
9077,Albert Street,2020-06-05,563
9077,Albert Street,2020-06-06,1145
9077,Albert Street,2020-06-07,383
9077,Albert Street,2020-06-08,277
9077,Albert Street,2020-06-09,530
9077,Albert Street,2020-06-10,544
9077,Albert Street,2020-06-11,575
9077,Albert Street,2020-06-12,558
9077,Albert Street,2020-06-13,278
9077,Albert Street,2020-06-14,248
9077,Albert Street,2020-06-15,424
9077,Albert Street,2020-06-16,504
9077,Albert Street,2020-06-17,514
9077,Albert Street,2020-06-18,476
9077,Albert Street,2020-06-19,568
9077,Albert Street,2020-06-20,398
9077,Albert Street,2020-06-21,257
9077,Albert Street,2020-06-22,444
9077,Albert Street,2020-06-23,565
9077,Albert Street,2020-06-24,513
9077,Albert Street,2020-06-25,516
9077,Albert Street,2020-06-26,565
9077,Albert Street,2020-06-27,326
9077,Albert Street,2020-06-28,307
9077,Albert Street,2020-06-29,484
9077,Albert Street,2020-06-30,541
9077,Albert Street,2020-07-01,561
9077,Albert Street,2020-07-02,528
9077,Albert Street,2020-07-03,366
9077,Albert Street,2020-07-04,206
9077,Albert Street,2020-07-05,206
9077,Albert Street,2020-07-06,401
